Date	Ticker	Change %	Stock Exchange
2026-06-22	LYEL	-6.854	nasdaq stocks
2026-06-22	TXG	-6.78	nasdaq stocks
2026-06-22	DAO	-6.717	nyse stocks
2026-06-22	FAC	-6.667	nasdaq stocks
2026-06-22	SPCB	-6.57	nasdaq stocks
2026-06-22	CRWV	-6.568	nasdaq stocks
2026-06-22	AAP	-6.559	nyse stocks
2026-06-22	LVLU	-6.522	nasdaq stocks
2026-06-22	FIZZ	-6.436	nasdaq stocks
2026-06-22	VSH	-6.421	nyse stocks
2026-06-22	MNTS	-6.41	nasdaq stocks
2026-06-22	ONON	-6.386	nyse stocks
2026-06-22	UONE	-6.379	nasdaq stocks
2026-06-22	NNE	-6.357	nasdaq stocks
2026-06-22	RDW	-6.331	nyse stocks
2026-06-22	RKLB	-6.29	nasdaq stocks
2026-06-22	IREN	-6.279	nasdaq stocks
2026-06-22	IMSR	-6.254	nasdaq stocks
2026-06-22	CEVA	-6.182	nasdaq stocks
2026-06-22	MLEC	-6.166	nasdaq stocks
2026-06-22	AKAN	-6.129	nasdaq stocks
2026-06-22	DMRC	-6.087	nasdaq stocks
2026-06-22	WGS	-6.076	nasdaq stocks
2026-06-22	POCI	-6.076	nasdaq stocks
2026-06-22	RCAT	-6.013	nasdaq stocks
2026-06-22	AVAV	-5.972	nasdaq stocks
2026-06-22	HUN	-5.969	nyse stocks
2026-06-22	BROS	-5.962	nyse stocks
2026-06-22	RRGB	-5.96	nasdaq stocks
2026-06-22	EXYN	-5.951	nasdaq stocks
2026-06-22	RHI	-5.945	nyse stocks
2026-06-22	SOC	-5.924	nyse stocks
2026-06-22	PRGS	-5.854	nasdaq stocks
2026-06-22	MSTR	-5.808	nasdaq stocks
2026-06-22	DPZ	-5.793	nasdaq stocks
2026-06-22	CLW	-5.776	nyse stocks
2026-06-22	CBRS	-5.723	nasdaq stocks
2026-06-22	DUOT	-5.692	nasdaq stocks
2026-06-22	TBI	-5.689	nyse stocks
2026-06-22	RUM	-5.687	nasdaq stocks
2026-06-22	PROF	-5.644	nasdaq stocks
2026-06-22	BNT	-5.626	nyse stocks
2026-06-22	PDC	-5.6	nasdaq stocks
2026-06-22	MAN	-5.588	nyse stocks
2026-06-22	ERIE	-5.568	nasdaq stocks
2026-06-22	TEO	-5.55	nyse stocks
2026-06-22	TNDM	-5.502	nasdaq stocks
2026-06-22	SAMG	-5.461	nasdaq stocks
2026-06-22	PSN	-5.442	nyse stocks
2026-06-22	NWSA	-5.419	nasdaq stocks
2026-06-22	SATL	-5.417	nasdaq stocks
2026-06-22	AEYE	-5.386	nasdaq stocks
2026-06-22	ERII	-5.372	nasdaq stocks
2026-06-22	CIB	-5.356	nyse stocks
2026-06-22	SMPL	-5.347	nasdaq stocks
2026-06-22	SG	-5.347	nyse stocks
2026-06-22	LULU	-5.342	nasdaq stocks
2026-06-22	VYX	-5.327	nyse stocks
2026-06-22	RKT	-5.323	nyse stocks
2026-06-22	RYAM	-5.312	nyse stocks
2026-06-22	STAK	-5.31	nasdaq stocks
2026-06-22	LMAT	-5.276	us
2026-06-22	LMAT	-5.276	nasdaq stocks
2026-06-22	VRSN	-5.263	nasdaq stocks
2026-06-22	MRLN	-5.263	nasdaq stocks
2026-06-22	TOYO	-5.221	nasdaq stocks
2026-06-22	CELH	-5.21	nasdaq stocks
2026-06-22	WLDN	-5.197	nasdaq stocks
2026-06-22	WDC	-5.194	nasdaq stocks
2026-06-22	REFI	-5.183	nasdaq stocks
2026-06-22	PDYN	-5.182	nasdaq stocks
2026-06-22	HUT	-5.173	nasdaq stocks
2026-06-22	SLMT	-5.169	nasdaq stocks
2026-06-22	AVGO	-5.113	nasdaq stocks
2026-06-22	AIBZ	-5.112	nasdaq stocks
2026-06-22	NVCR	-5.094	nasdaq stocks
2026-06-22	CEPT	-5.085	nasdaq stocks
2026-06-22	AMPG	-5.068	nasdaq stocks
2026-06-22	PRGO	-5.045	nyse stocks
2026-06-22	TOI	-5.028	nasdaq stocks
2026-06-22	KTOS	-5.021	nasdaq stocks
2026-06-22	YSS	-5.018	nyse stocks
2026-06-22	FLY	-5.018	nasdaq stocks
2026-06-18	CAST	-32.003	nasdaq stocks
