ticker  potential_gain  volatility      body_pct  daily_range   vol_ma    vol_ratio   volume  upper_wick  lower_wick  return_1  return_5  minutes_after_open  target_return    Score
  NXTS        0.194157    0.026990 -7.188336e-02     0.580000 0.020214 2.160685e+06  43676.0    0.000000    0.148700 -0.073428 -0.084080                  25       0.194157 0.165874
  NXTS        0.141771    0.032681  2.180740e-02     0.417600 0.021745 6.128855e+05  13327.0    0.193400    0.099900  0.045882 -0.034129                  26       0.141771 0.136877
  NXTS        0.132862    0.031647  1.706442e-03     0.110000 0.030980 2.792777e+05   8652.0    0.010000    0.090000 -0.003396 -0.017886                  34       0.132862 0.124839
  NXTS        0.129015    0.031659 -6.912892e-03     0.070900 0.029553 2.120947e+05   6268.0    0.000000    0.029900 -0.012358 -0.015100                  33       0.129015 0.119020
  NXTS        0.111968    0.031094 -8.242166e-03     0.139700 0.023315 6.514196e+05  15188.0    0.090000    0.000000 -0.001619 -0.009884                  28       0.111968 0.112001
  NXTS        0.112023    0.031473  3.338844e-03     0.106700 0.026890 1.631438e+05   4387.0    0.086800    0.000000 -0.016447  0.026750                  31       0.112023 0.110822
  NXTS        0.110167    0.031096  1.182427e-02     0.170000 0.022533 5.332198e+05  12015.0    0.030000    0.070000  0.028467 -0.004983                  27       0.110167 0.110776
  NXTS        0.115063    0.031480 -5.221029e-03     0.117900 0.028223 8.734015e+04   2465.0    0.063000    0.023600 -0.002726 -0.004391                  32       0.115063 0.110180
  NXTS        0.112600    0.030567  1.434056e-02     0.160000 0.024447 4.018893e+05   9825.0    0.033100    0.042400 -0.000569 -0.005508                  29       0.112600 0.106745
  NXTS        0.102803    0.019061 -3.305782e-03     0.102000 0.019230 3.049352e+05   5864.0    0.082000    0.000000 -0.008207 -0.042857                  21       0.102803 0.100458
  NXTS        0.093734    0.031112  1.333332e-02     0.138000 0.025649 1.047600e+05   2687.0    0.008100    0.049900  0.017250  0.091817                  30       0.093734 0.100069
  NXTS        0.106472    0.017376 -7.825139e-03     0.065000 0.019039 2.126650e+05   4049.0    0.017600    0.000000 -0.004967 -0.016367                  24       0.106472 0.099772
  PRIM        0.114729    0.007962  7.413607e-03     1.879898 0.010146 1.218859e+07 123663.0    0.859901    0.489998  0.007978  0.026218                  20       0.114729 0.095811
  NXTS        0.100977    0.018361  3.322256e-03     0.130000 0.019154 2.171849e+05   4160.0    0.090000    0.020000  0.003322  0.004540                  23       0.100977 0.094776
  NXTS        0.104635    0.018154 -1.608674e-03     0.015000 0.019135 6.681836e+05  12786.0    0.000300    0.005000 -0.001658  0.003216                  22       0.104635 0.092951
  PRIM        0.103923    0.008214 -7.031669e-03     0.699898 0.009297 4.029011e+06  37457.0    0.000000    0.184898 -0.004723  0.030683                  23       0.103923 0.092260
  NXTS        0.093752    0.019091 -6.552304e-03     0.138600 0.019966 5.086105e+05  10155.0    0.068600    0.029900 -0.004926 -0.057380                  20       0.093752 0.092107
  PRIM        0.104303    0.007986 -1.375620e-04     0.690002 0.008955 2.620062e+06  23463.0    0.680000    0.000000 -0.000344  0.017495                  24       0.104303 0.090170
  NXTS        0.104818    0.017793  3.166676e-03     0.040000 0.027766 5.578693e+04   1549.0    0.021000    0.000000  0.014991  0.009273                  37       0.104818 0.089002
  PRIM        0.102786    0.008177  1.083041e-02     0.869904 0.009858 3.551841e+06  35015.0    0.029900    0.059998  0.010830  0.031162                  21       0.102786 0.088982
