ticker  potential_gain  volatility      body_pct  daily_range   vol_ma    vol_ratio   volume  upper_wick  lower_wick  return_1  return_5  minutes_after_open  target_return    Score
  NXTS        0.104616    0.022499 -2.429497e-02     0.219900 0.020779 3.847071e+05   7994.0    0.070000    0.000000 -0.034048 -0.021122                  52       0.104616 0.087747
  NXTS        0.093752    0.021402  3.581100e-02     0.210200 0.030421 2.345412e+05   7135.0    0.000000    0.000000  0.035758 -0.000016                  35       0.093752 0.087479
  PRIM        0.098709    0.008095  6.059502e-03     1.185005 0.009584 6.017776e+06  57673.0    0.174904    0.570000  0.003710  0.047976                  22       0.098709 0.086640
  PRIM        0.102254    0.007972  1.858340e-03     0.370003 0.008617 1.155078e+06   9953.0    0.234901    0.000000  0.001858  0.011318                  25       0.102254 0.084635
  NXTS        0.121381    0.019436 -9.999968e-03     0.099900 0.029097 2.958074e+05   8607.0    0.040000    0.000000 -0.024639 -0.008344                  36       0.121381 0.084311
  PRIM        0.105443    0.008186 -2.403888e-03     0.360001 0.008367 1.591104e+06  13313.0    0.089996    0.095001 -0.002885 -0.002404                  26       0.105443 0.079899
  NXTS        0.081285    0.022423 -2.535655e-02     0.160000 0.020840 3.818112e+05   7957.0    0.000000    0.000000 -0.035551 -0.045031                  47       0.081285 0.079618
   STI        0.018786    0.012670 -9.888717e-04     0.013700 0.010144 8.546700e+04    867.0    0.000000    0.000000 -0.012487  0.003262                  23       0.018786 0.076454
  NXTS        0.074297    0.022605 -2.365932e-02     0.225000 0.020556 1.862255e+05   3828.0    0.075000    0.000000 -0.025197 -0.009600                  44       0.074297 0.075823
  PRIM        0.099764    0.006190  4.383563e-03     0.424896 0.007992 1.351554e+06  10802.0    0.049896    0.056396  0.005164 -0.000959                  27       0.099764 0.074909
  NXTS        0.072565    0.025012  1.556098e-02     0.100000 0.021257 2.044981e+05   4347.0    0.000000    0.005000  0.029883  0.007295                  53       0.072565 0.074873
  NXTS        0.080389    0.018915  5.735291e-03     0.080000 0.020623 1.918202e+05   3956.0    0.044900    0.000000  0.000829 -0.030693                  48       0.080389 0.074078
  NXTS        0.077627    0.007165 -9.473688e-03     0.057600 0.007659 8.486258e+04    650.0    0.000000    0.000000 -0.011100 -0.020748                 11 5       0.077627 0.071339
  NXTS        0.098122    0.011223 -2.152320e-02     0.140000 0.007265 2.605059e+06  18927.0    0.000000    0.010000 -0.029557 -0.034314                 122       0.098122 0.071197
  NXTS        0.071700    0.020421 -8.051714e-04     0.070000 0.020514 2.294050e+05   4706.0    0.030000    0.035000 -0.019592 -0.018196                  50       0.071700 0.069269
  PRIM        0.079078    0.004478  1.008601e-02     0.822800 0.006607 3.310261e+06  21871.0    0.040001    0.037796  0.010120  0.027332                  31       0.079078 0.069236
  PRIM        0.098063    0.004687  1.776161e-03     0.340004 0.007311 2.234563e+06  16338.0    0.090004    0.120003  0.002187  0.008528                  29       0.098063 0.068903
  PRIM        0.100465    0.005647  2.672615e-03     0.510002 0.007696 5.561893e+06  42807.0    0.000000    0.314995  0.002192  0.005982                  28       0.100465 0.068272
  NXTS        0.065689    0.021082  4.477109e-02     0.287600 0.026765 6.780097e+05  18147.0    0.020200    0.000000  0.036717  0.059423                  38       0.065689 0.068139
  NXTS        0.067006    0.020537  4.494723e-04     0.002800 0.020535 1.135645e+05   2332.0    0.000000    0.000000  0.004400 -0.022645                  51       0.067006 0.067939
  NXTS        0.070941    0.007110 -1.647484e-03     0.010000 0.006962 1.462193e+05   1018.0    0.000000    0.000000 -0.009804 -0.009010                 118       0.070941 0.067645
  HYLN        0.068162    0.013755 -7.496423e-04     0.130000 0.012565 7.857487e+06  98726.0    0.030000    0.095000 -0.002245 -0.005224                  38       0.068162 0.065176
  NXTS        0.067418    0.007122  0.000000e+00     0.000000 0.007382 1.358632e+05   1003.0    0.000000    0.000000  0.009564 -0.011382                 116       0.067418 0.065035
  NXTS        0.081650    0.012722  4.402624e-03     0.031300 0.007895 9.343962e+05   7377.0    0.005000    0.000000  0.015228 -0.009901                 123       0.081650 0.064980
  NXTS        0.065689    0.023735  8.077498e-03     0.120000 0.021370 1.599909e+05   3419.0    0.000000    0.070000  0.006452 -0.014062                  54       0.065689 0.064268
  PRIM        0.073467    0.004550  5.361951e-03     0.549896 0.006253 4.797708e+06  29998.0    0.000000    0.149895  0.005227  0.027397                  32       0.073467 0.063930
  HYLN        0.065763    0.013829 -7.429449e-03     0.100000 0.011677 4.746664e+06  55428.0    0.030000    0.020000 -0.007429 -0.004174                  37       0.065763 0.062878
  PRIM        0.069757    0.004868 -6.022432e-04     0.439995 0.004421 3.747530e+06  16566.0    0.202499    0.189896 -0.000571 -0.007166                 101       0.069757 0.062291
  HYLN        0.062582    0.013095 -4.457683e-03     0.087200 0.008302 3.154578e+06  26190.0    0.017200    0.040000 -0.001193 -0.035277                  33       0.062582 0.062169
  NXTS        0.063133    0.022705 -5.248090e-03     0.058000 0.021558 1.134616e+05   2446.0    0.000000    0.025000  0.002404  0.008058                  55       0.063133 0.061662
  FCEL        0.079745    0.007205 -1.386480e-02     0.325001 0.008014 4.532524e+06  36324.0    0.000000    0.005001 -0.012153 -0.011466                  23       0.079745 0.061644
  NXTS        0.039031    0.021586  2.074964e-02     0.240000 0.024859 7.686423e+05  19108.0    0.109900    0.000000  0.024016  0.052665                  40       0.039031 0.061392
  HYLN        0.061315    0.013078 -9.889286e-03     0.150000 0.007706 1.729475e+07 133278.0    0.045000    0.038000 -0.009158 -0.033429                  32       0.061315 0.061234
  HYLN        0.064966    0.013441 -6.686490e-03     0.089900 0.009910 4.288075e+06  42494.0    0.000000    0.044900 -0.008160 -0.011826                  35       0.064966 0.061043
  NXTS        0.069176    0.006465  4.551122e-03     0.027500 0.006805 1.080096e+05    735.0    0.000000    0.000000  0.001650  0.007904                 120       0.069176 0.060654
  NXTS        0.070941    0.006791  0.000000e+00     0.000000 0.006905 2.925533e+04    202.0    0.000000    0.000000  0.000000 -0.004926                 119       0.070941 0.060560
  PRIM        0.062559    0.005378 -2.446057e-03     0.320000 0.004685 2.793276e+06  13086.0    0.000000    0.125000 -0.002446  0.002584                 103       0.062559 0.060102
  HYLN        0.057845    0.013807  6.731500e-03     0.065000 0.010788 1.926292e+06  20780.0    0.005000    0.015000  0.006731 -0.005908                  36       0.057845 0.060078
  NXTS        0.060441    0.007358  0.000000e+00     0.000000 0.007199 1.440452e+05   1037.0    0.000000    0.000000  0.006579 -0.003257                 117       0.060441 0.059481
  PRIM        0.066358    0.003885  6.666667e-03     0.555000 0.005820 1.422215e+07  82768.0    0.050003    0.004997  0.006667  0.031985                  33       0.066358 0.059459
  NXTS        0.065665    0.006620 -1.639304e-03     0.035000 0.006776 3.161151e+05   2142.0    0.000000    0.025000  0.003295  0.001645                 121       0.065665 0.059445
  NXTS        0.052199    0.020826  2.265378e-02     0.210000 0.020498 3.286166e+05   6736.0    0.060000    0.010000  0.021002 -0.012515                  45       0.052199 0.059123
  NXTS        0.057218    0.022569  0.000000e+00     0.060000 0.021992 1.205884e+05   2652.0    0.000000    0.060000  0.005595  0.009258                  56       0.057218 0.059079
  HYLN        0.052373    0.013112 -3.632480e-02     0.356000 0.006554 4.252414e+07 278695.0    0.016000    0.085000 -0.037696 -0.025216                  30       0.052373 0.058967
  NXTS        0.063984    0.021035  0.000000e+00     0.207700 0.025812 3.905165e+05  10080.0    0.017700    0.190000  0.001603  0.064736                  39       0.063984 0.058491
  HYLN        0.056276    0.013426  5.970144e-03     0.155000 0.009072 2.430694e+07 220524.0    0.045000    0.070000  0.005970 -0.041252                  34       0.056276 0.057982
  PRIM        0.069147    0.004878 -8.032625e-03     1.068298 0.004311 1.043703e+07  44994.0    0.223297    0.205002 -0.008033 -0.004597                 100       0.069147 0.057759
  NXTS        0.065665    0.006374  8.217115e-04     0.040000 0.007997 4.374091e+05   3498.0    0.000000    0.035000 -0.004105 -0.004088                 114       0.065665 0.057549
  HYLN        0.060998    0.013129  6.751699e-03     0.100000 0.013362 2.056203e+06  27474.0    0.000000    0.055000  0.006752 -0.004451                  39       0.060998 0.057464
  NXTS        0.060100    0.012891 -9.802673e-03     0.067800 0.012358 2.835360e+05   3504.0    0.005700    0.000000 -0.015243 -0.015228                  68       0.060100 0.057375
  PRIM        0.059960    0.005351  1.052100e-02     0.879997 0.004525 4.811826e+06  21773.0    0.029999    0.019997  0.009243  0.002011                 102       0.059960 0.056718
  NXTS        0.060590    0.019146 -4.761938e-03     0.050000 0.021664 8.497792e+04   1841.0    0.000000    0.020000 -0.003180  0.041511                  57       0.060590 0.056590
  PRIM        0.066313    0.004476 -6.935725e-04     0.399994 0.004539 4.054181e+06  18403.0    0.219994    0.125000  0.000442  0.008655                  84       0.066313 0.056362
  PRIM        0.065305    0.004221 -1.510609e-03     0.399994 0.004190 5.264584e+06  22060.0    0.024994    0.254997 -0.003017 -0.010541                  98       0.065305 0.056250
  NXTS        0.057218    0.014541  0.000000e+00     0.000000 0.011508 4.701046e+04    541.0    0.000000    0.000000 -0.009449 -0.012543                  71       0.057218 0.056153
  PRIM        0.056631    0.003937  1.101309e-02     0.925003 0.005415 9.835201e+06  53256.0    0.095001    0.000000  0.009205  0.039212                  34       0.056631 0.056146
  NXTS        0.061291    0.006428  5.773024e-03     0.035100 0.008412 1.265986e+05   1065.0    0.000000    0.000000 -0.004055  0.005773                 113       0.061291 0.055869
  PRIM        0.062092    0.004691  2.520123e-03     0.329895 0.004198 2.078862e+06   8728.0    0.070000    0.059898  0.002015 -0.002257                  96       0.062092 0.055741
  HYLN        0.051595    0.012943  7.391152e-04     0.089500 0.007113 1.291060e+07  91833.0    0.060000    0.024500  0.000739 -0.024496                  31       0.051595 0.055685
  NXTS        0.069116    0.012163 -3.556456e-03     0.022200 0.011828 8.319120e+04    984.0    0.000000    0.000000 -0.008433  0.001610                  69       0.069116 0.054898
  FCEL        0.078087    0.006807 -1.970231e-03     0.110001 0.007394 1.476152e+06  10914.0    0.030001    0.035000 -0.000219 -0.018092                  25       0.078087 0.054637
  NXTS        0.056987    0.006329  0.000000e+00     0.000000 0.008817 1.570914e+05   1385.0    0.000000    0.000000 -0.001626 -0.001626                 112       0.056987 0.054224
  NXTS        0.070837    0.010550 -1.973165e-02     0.159100 0.015936 1.272584e+05   2028.0    0.034100    0.000000 -0.025102 -0.028929                  64       0.070837 0.054194
  FCEL        0.058355    0.008826  1.886785e-02     0.459999 0.007277 8.785227e+06  63934.0    0.030001    0.000000  0.018644  0.006066                  26       0.058355 0.053955
  NXTS        0.055268    0.006909  0.000000e+00     0.000000 0.009288 2.804748e+05   2605.0    0.000000    0.000000  0.000000 -0.006462                 111       0.055268 0.053831
  PRIM        0.060558    0.004589  7.078370e-03     0.584999 0.004229 2.264650e+06   9577.0    0.024994    0.000000  0.004476 -0.005306                  99       0.060558 0.053818
  NXTS        0.050703    0.021105  1.998390e-02     0.150000 0.020630 5.594146e+05  11541.0    0.001000    0.025000  0.028253  0.022456                  49       0.050703 0.053710
  NXTS        0.047228    0.020237 -9.360366e-03     0.165300 0.021460 2.756297e+05   5915.0    0.090000    0.015300 -0.013975  0.017628                  43       0.047228 0.053596
  FCEL        0.077851    0.006943  1.757426e-03     0.099901 0.007711 1.027720e+06   7925.0    0.050001    0.009901  0.001757 -0.010846                  24       0.077851 0.053570
  PRIM        0.059384    0.008542  1.677384e-03     0.445000 0.008055 6.314357e+05   5086.0    0.235001    0.080002  0.001419  0.001677                  62       0.059384 0.053483
  NXTS        0.049877    0.007365  9.059206e-03     0.054900 0.010623 7.935659e+04    843.0    0.000000    0.000000  0.005757 -0.004072                 109       0.049877 0.053195
  NXTS        0.055523    0.014340 -9.418283e-03     0.109800 0.011985 3.388328e+05   4061.0    0.049900    0.000000  0.001606 -0.010973                  72       0.055523 0.052633
  PRIM        0.064232    0.004781 -8.739038e-03     0.934998 0.004175 4.388480e+06  18322.0    0.235001    0.000000 -0.008739 -0.004170                  95       0.064232 0.052130
  PRIM        0.053289    0.004468 -1.253742e-03     0.339996 0.004712 3.174987e+06  14961.0    0.089996    0.150002 -0.000314  0.016655                  82       0.053289 0.051911
  NXTS        0.055921    0.009480 -3.278685e-03     0.020000 0.011410 3.154122e+05   3599.0    0.000000    0.000000 -0.011382 -0.005724                 108       0.055921 0.051876
  PRIM        0.064701    0.004638 -1.195585e-03     0.360001 0.004817 3.139817e+06  15123.0    0.120003    0.144997 -0.002702  0.004749                 106       0.064701 0.051583
  PRIM        0.066785    0.004617 -5.649065e-03     0.622803 0.004647 6.820244e+06  31697.0    0.000000    0.172798 -0.005649  0.013823                  83       0.066785 0.051568
  PRIM        0.049127    0.003866  7.350979e-03     0.809799 0.005004 8.098512e+06  40527.0    0.099899    0.149902  0.007153  0.038957                  35       0.049127 0.051144
  PRIM        0.060093    0.004690  2.736092e-03     0.309998 0.004901 1.078900e+06   5288.0    0.000000    0.092499  0.003904  0.002326                 108       0.060093 0.051142
  PRIM        0.063027    0.005379  9.435656e-05     0.084999 0.004840 5.814047e+05   2814.0    0.000000    0.077499 -0.000440 -0.002322                 104       0.063027 0.051082
  PRIM        0.064232    0.004643  4.410466e-04     0.574997 0.004854 5.042115e+06  24476.0    0.459999    0.079994  0.000441 -0.004014                 107       0.064232 0.050808
  PRIM        0.053222    0.004472  5.325519e-03     0.705002 0.004453 2.295571e+06  10222.0    0.279999    0.000000  0.005326  0.007155                  87       0.053222 0.050615
  PRIM        0.059960    0.005558  6.245983e-03     0.559998 0.005964 4.087013e+06  24375.0    0.064995    0.010002  0.005275  0.003403                  74       0.059960 0.050440
  PRIM        0.057409    0.006932 -8.730532e-03     0.942101 0.007938 9.281168e+05   7367.0    0.239998    0.017105 -0.010622  0.001868                  67       0.057409 0.050034
  FCEL        0.064775    0.007144 -5.600998e-03     0.230000 0.008806 3.078318e+06  27107.0    0.040001    0.059999 -0.005815  0.019435                  21       0.064775 0.050029
  PRIM        0.057969    0.004520  2.007322e-03     0.489998 0.004894 2.210303e+06  10818.0    0.219994    0.110001  0.002007  0.004781                 109       0.057969 0.049913
  PRIM        0.062092    0.004265  0.000000e+00     0.259995 0.004178 9.533797e+05   3983.0    0.000000    0.259995  0.000000 -0.008907                  97       0.062092 0.049777
  FCEL        0.066623    0.005852 -5.052411e-03     0.129999 0.008337 1.707487e+06  14235.0    0.013000    0.000000 -0.001733  0.013415                  22       0.066623 0.049537
  PRIM        0.055041    0.004827  9.354723e-03     0.750000 0.004871 2.340838e+06  11403.0    0.014999    0.000000  0.009419  0.015169                  80       0.055041 0.049440
  NXTS        0.053322    0.011042  4.118553e-03     0.070000 0.014521 1.504677e+05   2185.0    0.045000    0.000000 -0.008137 -0.007329                 102       0.053322 0.049432
  VELO        0.040845    0.008875 -2.308015e-04     0.305000 0.006660 1.620665e+06  10793.0    0.100000    0.200001  0.003011 -0.005739                  28       0.040845 0.049251
  NXTS        0.042843    0.018227  8.971480e-03     0.108200 0.020377 3.103486e+05   6324.0    0.000000    0.051500  0.008971 -0.003656                  46       0.042843 0.049150
  NXTS        0.039859    0.017463  1.588561e-02     0.154900 0.021329 3.168498e+05   6758.0    0.054900    0.000000  0.012861  0.024840                  59       0.039859 0.049102
  VELO        0.050768    0.007812 -1.286236e-02     0.309999 0.007221 5.307040e+06  38320.0    0.020000    0.010500 -0.013770 -0.031475                  25       0.050768 0.049005
  NXTS        0.053233    0.019200  4.582341e-03     0.110000 0.021693 3.101933e+05   6729.0    0.016200    0.065000  0.006986  0.018355                  58       0.053233 0.048698
  PRIM        0.062359    0.004490  3.659318e-03     0.329994 0.004477 1.500651e+06   6718.0    0.019997    0.019997  0.003723  0.002963                  85       0.062359 0.048515
  PRIM        0.058831    0.004457  3.186639e-03     0.379997 0.004393 2.176321e+06   9561.0    0.114998    0.011497  0.003332  0.001506                  86       0.058831 0.048449
  PRIM        0.061825    0.004599  2.203930e-03     0.480003 0.004822 6.584018e+06  31747.0    0.070000    0.235001  0.001132  0.006896                 105       0.061825 0.048202
  PRIM        0.015387    0.004501  7.496874e-03     0.735001 0.003822 8.537624e+06  32627.0    0.029999    0.114998  0.009742  0.027139                  43       0.015387 0.048197
  PRIM        0.058862    0.007537  4.744336e-03     0.589996 0.007804 2.711928e+06  21164.0    0.049995    0.174995  0.006248 -0.032725                  59       0.058862 0.048043
  NXTS        0.054187    0.014994  0.000000e+00     0.000000 0.014951 8.829076e+04   1320.0    0.000000    0.000000  0.004089 -0.006525                 100       0.054187 0.047955
  VELO        0.055714    0.007829 -6.976726e-03     0.270000 0.006947 1.358598e+07  94376.0    0.020000    0.100000 -0.004685 -0.026004                  26       0.055714 0.047705
  NXTS        0.044752    0.012729  0.000000e+00     0.000000 0.014867 1.958693e+05   2912.0    0.000000    0.000000  0.009031 -0.011994                 101       0.044752 0.047449
  NXTS        0.039031    0.020331  1.564622e-05     0.165600 0.023745 5.094092e+05  12096.0    0.065600    0.099900  0.000000  0.079257                  41       0.039031 0.047433
  NXTS        0.043902    0.007462  3.262640e-03     0.030000 0.009870 1.117553e+05   1103.0    0.000000    0.010000  0.005724  0.003279                 110       0.043902 0.047331
  PRIM        0.055857    0.008505 -8.949176e-03     0.870003 0.007987 2.548893e+06  20358.0    0.099998    0.070000 -0.006727 -0.010215                  61       0.055857 0.047299
  PRIM        0.070268    0.004018 -2.712468e-03     0.405006 0.005097 2.353512e+06  11995.0    0.012505    0.180000 -0.002872  0.005211                  78       0.070268 0.047152
  NXTS        0.049877    0.010469  4.105028e-03     0.098300 0.014069 3.934056e+05   5535.0    0.023300    0.050000  0.003281 -0.011302                 103       0.049877 0.047092
  PRIM        0.065552    0.005263 -2.375871e-03     0.730003 0.006254 1.867817e+06  11681.0    0.379898    0.165001 -0.004802  0.000193                  73       0.065552 0.047068
  FCEL        0.058583    0.007394  7.158391e-03     0.257999 0.009111 4.751390e+06  43288.0    0.063000    0.029999  0.007158  0.024266                  20       0.058583 0.046966
  NXTS        0.047228    0.014263  4.746793e-03     0.030000 0.011654 1.089726e+05   1270.0    0.000000    0.000000  0.020900  0.013567                  70       0.047228 0.046748
  PRIM        0.060420    0.005115 -2.171391e-03     0.786507 0.005780 3.871660e+06  22378.0    0.586502    0.030006 -0.000192 -0.003044                  75       0.060420 0.046473
  NXTS        0.051210    0.015240 -7.332288e-03     0.049800 0.014642 7.854270e+04   1150.0    0.005000    0.000000 -0.019354 -0.010974                  99       0.051210 0.046155
  PRIM        0.045679    0.004963 -6.866081e-03     0.820000 0.003128 1.199492e+07  37524.0    0.020004    0.239998 -0.006866  0.010353                 120       0.045679 0.045704
  PRIM        0.041180    0.007298 -9.376574e-03     0.795006 0.003914 2.322668e+07  90919.0    0.000000    0.025002 -0.009377 -0.000860                 122       0.041180 0.045314
  PRIM        0.052632    0.004308  6.709351e-03     0.565002 0.004295 3.119689e+06  13398.0    0.025002    0.004997  0.006709  0.000561                  92       0.052632 0.045206
  NXTS        0.043089    0.016001 -5.242843e-03     0.100000 0.020887 2.452267e+05   5122.0    0.001200    0.065200 -0.003096  0.019217                  60       0.043089 0.045152
  NXTS        0.043902    0.009191  0.000000e+00     0.000000 0.011900 1.347039e+05   1603.0    0.000000    0.000000 -0.006462  0.009024                 107       0.043902 0.045035
  PRIM        0.064342    0.004307  5.503299e-03     0.570000 0.004934 2.074265e+06  10234.0    0.004997    0.135002  0.005568  0.005503                  79       0.064342 0.044873
  PRIM        0.048754    0.008537  1.094561e-02     1.215500 0.007890 6.677512e+06  52686.0    0.010498    0.360001  0.009638 -0.006049                  60       0.048754 0.044825
  NXTS        0.047228    0.014466 -7.797005e-03     0.049900 0.012816 1.106397e+05   1418.0    0.000000    0.000000  0.007921  0.012291                  73       0.047228 0.044822
  NXTS        0.042304    0.016003 -3.109399e-03     0.160000 0.020433 1.850402e+05   3781.0    0.070100    0.070000  0.000753  0.014308                  61       0.042304 0.044115
  PRIM        0.054172    0.008456  3.052149e-04     0.709999 0.008326 1.238455e+07 103118.0    0.156197    0.529999  0.000177  0.009234                  64       0.054172 0.043732
  PRIM        0.046177    0.006905  7.638136e-04     0.599998 0.008047 1.337939e+06  10767.0    0.389999    0.150002  0.001274  0.014061                  66       0.046177 0.043703
  PRIM        0.058294    0.006181  1.159448e-03     0.470100 0.007737 5.515219e+06  42673.0    0.090103    0.290001 -0.000836 -0.003718                  68       0.058294 0.043414
  PRIM        0.047510    0.006956  9.904866e-03     1.109993 0.008143 4.072437e+06  33163.0    0.259995    0.079994  0.006360  0.005958                  65       0.047510 0.043053
  PRIM        0.051518    0.004096  1.244821e-04     0.459900 0.004461 3.746260e+06  16711.0    0.000000    0.449898  0.001620  0.014518                  88       0.051518 0.042967
  PRIM        0.031417    0.006358  1.282685e-02     1.159996 0.003417 5.331818e+06  18220.0    0.119995    0.000000  0.013827  0.015771                 121       0.031417 0.042394
  PRIM        0.065478    0.008184 -4.728871e-03     0.739998 0.007841 5.513573e+06  43233.0    0.065002    0.309998 -0.008774 -0.033163                  58       0.065478 0.042082
  PRIM        0.043119    0.007416 -2.945121e-03     0.654999 0.004964 1.544968e+07  76692.0    0.014999    0.400002 -0.002945 -0.003801                 124       0.043119 0.041991
  FCEL        0.052499    0.008864  5.997424e-03     0.174200 0.007356 3.381302e+06  24873.0    0.000000    0.035000  0.005564  0.013420                  27       0.052499 0.041702
  NXTS        0.032593    0.020050  6.234250e-03     0.139900 0.022602 3.616025e+05   8173.0    0.049900    0.050100  0.006234  0.069945                  42       0.032593 0.041396
  PRIM        0.067194    0.003874 -1.019879e-03     0.224800 0.005313 1.073410e+06   5703.0    0.000000    0.144806 -0.001020  0.003265                  77       0.067194 0.041325
  FLNC        0.022738    0.009269 -1.157099e-02     0.269999 0.007754 7.472837e+06  57942.0    0.000000    0.009998 -0.011993 -0.022447                  23       0.022738 0.041160
  PRIM        0.054359    0.008823  2.441877e-03     0.730003 0.008209 9.850583e+06  80863.0    0.220001    0.320000  0.004766  0.015361                  63       0.054359 0.041072
  PRIM        0.062272    0.005226 -3.068928e-03     0.493706 0.006941 3.262482e+06  22644.0    0.238701    0.014999 -0.005022 -0.008205                  71       0.062272 0.040893
  NXTS        0.047325    0.010542  0.000000e+00     0.000000 0.013197 1.785231e+05   2356.0    0.000000    0.000000 -0.001645  0.006552                 105       0.047325 0.040729
  PRIM        0.054931    0.003827  6.233126e-04     0.189903 0.004146 2.162118e+06   8964.0    0.010002    0.130005 -0.000811 -0.001497                  94       0.054931 0.040721
  PRIM        0.042274    0.002610  6.444279e-03     0.695503 0.004447 1.140172e+07  50699.0    0.200905    0.000000  0.006575  0.035312                  36       0.042274 0.040535
   STI        0.019892    0.011056  6.552614e-03     0.370000 0.009703 2.946256e+06  28588.0    0.175000    0.105000  0.018041  0.014307                  21       0.019892 0.040389
  VELO        0.036299    0.006819  2.433458e-03     0.172800 0.007502 8.084927e+05   6065.0    0.120001    0.000000 -0.001377 -0.015392                  24       0.036299 0.040250
  PRIM        0.057018    0.005936  3.932190e-03     0.660004 0.007577 1.335720e+06  10121.0    0.290001    0.065002  0.002059 -0.001843                  69       0.057018 0.040212
  PRIM        0.048903    0.008030 -1.070481e-02     1.818604 0.007773 8.824040e+06  68585.0    0.000000    0.980003 -0.010470 -0.024973                  57       0.048903 0.040140
  VELO        0.043495    0.006186 -1.414877e-02     0.400000 0.008305 6.212648e+06  51599.0    0.020000    0.070000 -0.014599 -0.016393                  22       0.043495 0.040093
  PRIM        0.056937    0.005452  3.566800e-03     0.555000 0.007269 2.376218e+06  17272.0    0.101501    0.175003  0.006273 -0.001930                  70       0.056937 0.040090
  PRIM        0.040047    0.007268  1.720951e-03     0.492699 0.004430 4.611548e+06  20430.0    0.322701    0.029999  0.001721  0.004931                 123       0.040047 0.039954
  PRIM        0.045449    0.003925 -4.588583e-03     0.910004 0.004220 2.724774e+07 114988.0    0.175003    0.380005 -0.003037  0.026800                  37       0.045449 0.039794
  NXTS        0.045603    0.010527  8.193635e-03     0.049900 0.013631 3.585166e+05   4887.0    0.000000    0.000000  0.004088  0.012333                 104       0.045603 0.039789
  FCEL        0.048874    0.008158  4.712672e-03     0.171600 0.007434 2.855371e+06  21228.0    0.061701    0.000000  0.003456  0.029433                  28       0.048874 0.039509
  NXTS        0.037157    0.009893  8.143354e-03     0.095000 0.012607 3.833441e+05   4833.0    0.000000    0.045000  0.009804  0.007323                 106       0.037157 0.039460
